product_name,img,product_price,promotion
MacBook Pro 16 inch M3 Pro 2023 (12 CPU - 18 GPU 36GB 512GB),https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_562_7_.png,Giá Liên Hệ,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air M2 2024 8CPU 10GPU 16GB 256GB Sạc 30W I Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_524_4_.png,25990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 inch M3 Max 96GB - 512GB Sạc 96W | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_560_13_.png,89990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
Apple MacBook Air M2 2024 8CPU 10GPU 8GB 512GB I Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_1__2_6.png,24790000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air 15 inch M2 2023 8CPU 10GPU 8GB 512GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_27_.png,25490000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
Mac mini M4 2024 10CPU 10GPU 32GB 1TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_4__10.png,34490000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 M3 8GB - 512GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_560_1.png,35390000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air M3 13 inch 2024 8GB - 512GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_18__1.png,25990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 inch M3 2023 (8 CPU - 10 GPU 16GB 512GB) | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_560_1_.png,38490000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air 15 inch M2 2023 8GB 256GB sạc 35W | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_16__1.png,24990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
Mac mini M4 2024 10CPU 10GPU 24GB 256GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_11.png,19990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air M3 13 inch 2024 8CPU 10GPU 24GB - 256GB sạc 30W | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_7_3.png,32590000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
Apple MacBook Pro 13 M2 2022 16GB 256GB I Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_pro_m22.png,36390000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
